day,total_requests,errors,total_bytes
01/Aug/1995,33996,244,529321719
01/Jul/1995,64710,315,1617617543
02/Jul/1995,60260,294,1531758920
03/Aug/1995,41387,303,732953605
03/Jul/1995,89542,529,2085296137
04/Aug/1995,59554,347,1109729960
04/Jul/1995,70444,361,1744418337
05/Aug/1995,31888,236,613595630
05/Jul/1995,94572,498,2051234780
06/Aug/1995,32416,373,634100920
06/Jul/1995,100956,641,2219011831
07/Aug/1995,57356,534,957837996
07/Jul/1995,87208,568,1952206622
08/Aug/1995,60087,395,1061672469
08/Jul/1995,38861,299,928125728
09/Aug/1995,60457,281,980858580
09/Jul/1995,35261,348,754025669
10/Aug/1995,61237,317,1034788067
10/Jul/1995,72852,396,1376592095
11/Aug/1995,61242,274,1102718381
11/Jul/1995,80316,470,1387880906
12/Aug/1995,38062,197,695560640
12/Jul/1995,92230,465,1714933255
13/Aug/1995,36480,216,696820803
13/Jul/1995,133952,527,2634575773
14/Aug/1995,59874,299,1083538174
14/Jul/1995,84101,415,1922505086
15/Aug/1995,58841,326,1054370457
15/Jul/1995,45512,253,975813417
16/Aug/1995,56651,260,994644927
16/Jul/1995,47846,257,1040903863
17/Aug/1995,58980,269,1045921769
17/Jul/1995,74976,406,1432819419
18/Aug/1995,56244,257,905398706
18/Jul/1995,64265,482,1177637056
19/Aug/1995,32092,208,579537180
19/Jul/1995,72737,641,1359919459
20/Aug/1995,32948,320,609965720
20/Jul/1995,66589,428,1205866140
21/Aug/1995,55521,305,920048302
21/Jul/1995,64627,334,1131303404
22/Aug/1995,57758,301,943086746
22/Jul/1995,35256,184,666842484
23/Aug/1995,58097,345,953300508
23/Jul/1995,39195,233,766173678
24/Aug/1995,52550,422,804456547
24/Jul/1995,64251,333,1213106523
25/Aug/1995,57316,441,970063281
25/Jul/1995,62698,467,1148520557
26/Aug/1995,31603,374,588785836
26/Jul/1995,58843,335,1041366917
27/Aug/1995,32819,417,575968558
27/Jul/1995,61675,340,1124833307
28/Aug/1995,55492,410,842164093
28/Jul/1995,27118,94,489166254
29/Aug/1995,67984,434,1089204009
30/Aug/1995,80299,590,1288396774
31/Aug/1995,89827,528,1426704951
