endpoint,hits,total_bytes
/images/NASA-logosmall.gif,208714,131718666
/images/KSC-logosmall.gif,164970,169357048
/images/MOSAIC-logosmall.gif,127908,40591749
/images/USA-logosmall.gif,127074,25991550
/images/WORLD-logosmall.gif,125925,73790700
/images/ksclogo-medium.gif,121572,629703368
/ksc.html,83909,563678965
/images/launch-logo.gif,76006,114685350
/history/apollo/images/apollo-logo1.gif,68896,71781735
/shuttle/countdown/,64736,255145935
/,63170,399529443
/images/ksclogosmall.gif,61393,202011490
/shuttle/missions/missions.html,47315,379502320
/images/launchmedium.gif,40687,445732065
/htbin/cdt_main.pl,39871,143965010
/shuttle/missions/sts-69/mission-sts-69.html,31574,317318518
/shuttle/countdown/liftoff.html,29865,112077906
/icons/menu.xbm,29190,13909111
/shuttle/missions/sts-69/sts-69-patch-small.gif,29118,212166068
/icons/blank.xbm,28852,13214149
/history/apollo/images/footprint-logo.gif,26300,100212081
/shuttle/missions/sts-71/sts-71-patch-small.gif,25465,281617602
/shuttle/missions/sts-69/count69.gif,24381,1005927794
/history/apollo/apollo.html,23457,70676507
/history/apollo/images/footprint-small.gif,23150,395212624
/shuttle/missions/sts-70/sts-70-patch-small.gif,22949,115794014
/icons/image.xbm,22456,10493035
/shuttle/countdown/count.gif,22237,829910080
/history/history.html,21949,32552438
/shuttle/countdown/count70.gif,21416,920583544
