ip,total_requests,error_requests,total_bytes,error_rate
piweba3y.prodigy.com,21988,157,523915427,0.71
piweba4y.prodigy.com,16437,86,327110913,0.52
piweba1y.prodigy.com,12825,114,328618131,0.89
edams.ksc.nasa.gov,11964,33,102254326,0.28
163.206.89.4,9697,27,175165356,0.28
news.ti.com,8161,37,272130709,0.45
www-d1.proxy.aol.com,8047,65,156989958,0.81
alyssa.prodigy.com,8037,56,214450314,0.7
siltb10.orl.mmc.com,7573,0,10053234,0.0
www-a2.proxy.aol.com,7516,60,164764633,0.8
www-b2.proxy.aol.com,7266,53,163405809,0.73
piweba2y.prodigy.com,7246,59,189580108,0.81
www-b3.proxy.aol.com,7218,61,165547760,0.85
www-d4.proxy.aol.com,7211,91,171158379,1.26
www-b5.proxy.aol.com,7080,50,166644968,0.71
www-d2.proxy.aol.com,6984,59,147804562,0.84
www-b4.proxy.aol.com,6972,62,153070533,0.89
www-d3.proxy.aol.com,6895,54,158527568,0.78
webgate1.mot.com,6749,14,177873757,0.21
e659229.boeing.com,6720,15,209005351,0.22
www-a1.proxy.aol.com,6661,50,160219337,0.75
www-c2.proxy.aol.com,6436,49,144869600,0.76
poppy.hensa.ac.uk,6428,11,173872133,0.17
vagrant.vf.mmc.com,6383,19,82433228,0.3
www-c5.proxy.aol.com,6099,32,138358001,0.52
disarray.demon.co.uk,5838,27,108052285,0.46
www-c6.proxy.aol.com,5624,40,121383679,0.71
www-c4.proxy.aol.com,5561,53,101829476,0.95
www-c3.proxy.aol.com,5528,37,101624515,0.67
www-c1.proxy.aol.com,5439,26,107964524,0.48
www-relay.pa-x.dec.com,4896,47,156655329,0.96
piweba5y.prodigy.com,4607,31,98635303,0.67
intgate.raleigh.ibm.com,4510,26,111965852,0.58
www-proxy.crl.research.digital.com,4337,32,138464104,0.74
198.133.29.18,4203,16,105679311,0.38
palona1.cns.hp.com,4142,18,131305951,0.43
proxy0.research.att.com,3888,5,98435234,0.13
derec,3674,27,46193380,0.73
www-b6.proxy.aol.com,3672,48,95802567,1.31
sgigate.sgi.com,3658,3,91012015,0.08
trusty.lmsc.lockheed.com,3513,8,72922797,0.23
beta.xerox.com,3407,12,57376395,0.35
mpngate1.ny.us.ibm.net,3262,11,78898562,0.34
cliffy.lfwc.lockheed.com,3194,13,86573920,0.41
bill.ksc.nasa.gov,3126,0,14105665,0.0
bocagate.bocaraton.ibm.com,3104,2,65883719,0.06
gw1.att.com,3055,14,57182962,0.46
163.205.156.16,2961,18,17232227,0.61
interlock.turner.com,2828,21,58759680,0.74
163.206.137.21,2787,7,170602889,0.25
